lag,xcor
-30,0.28772487873792124
-29,0.3873363475571072
-28,0.46314054376739233
-27,0.5016608713973141
-26,0.4969803275774183
-25,0.46145382391004375
-24,0.4081284036870565
-23,0.3397664605360893
-22,0.25106607164861816
-21,0.13649249157068757
-20,-0.0002466800361455409
-19,-0.1486866123443268
-18,-0.29881069301390445
-17,-0.4357970883560298
-16,-0.5400957039028816
-15,-0.5988045737428884
-14,-0.611426045512045
-13,-0.5829927922969672
-12,-0.5151528817977558
-11,-0.4134100204710192
-10,-0.2887336347523787
-9,-0.15838959857462495
-8,-0.0368316886360194
-7,0.07321067958641386
-6,0.1733589160744527
-5,0.2588614527961706
-4,0.32392925849841436
-3,0.35363006548107545
-2,0.342072014875784
-1,0.3020031587518614
0,0.24872867324335685
1,0.18850315181861893
2,0.11353541874046955
3,0.016230763466754738
4,-0.10139566035123647
5,-0.23141956873931638
6,-0.3641545119989225
7,-0.4855835499739935
8,-0.5763531247155751
9,-0.6228446323483814
10,-0.6245887890196606
11,-0.5862723804514489
12,-0.5096121789648411
13,-0.40133748764205596
14,-0.2718757025861291
15,-0.13536530481744394
16,-0.0037993415207619344
17,0.11852639004808464
18,0.22952774930084802
19,0.3233548435587496
20,0.393195131690463
21,0.4279241733330604
22,0.4224217248451285
23,0.3869712678814096
24,0.33450749509700295
25,0.2704565686398471
26,0.19000597890627535
27,0.08833859888589594
28,-0.03206472460920991
29,-0.16395547485241682
30,-0.29754933262931516
